suggestion_text,search_volume,cost_per_click,value_score
tribit stormbox blast,2900,1.04,3016.0
tribit stormbox blast,2900,1.04,3016.0
tribit movebuds,30,0.98,29.4
tribit movebuds,30,0.98,29.4
tribit stormbox micro 2,1300,0.94,1222.0
tribit stormbox micro 2,1300,0.94,1222.0
tribit xsound mega,90,0.83,74.7
tribit xsound mega,90,0.83,74.7
tribit speaker review,50,0.74,37.0
tribit speaker review,50,0.74,37.0
tribit stormbox 2 review,40,0.71,28.4
tribit stormbox 2 review,40,0.71,28.4
tribit stormbox 2 review,40,0.71,28.4
tribit boombox,30,0.7,21.0
tribit boombox,30,0.7,21.0
tribit flybuds,110,0.69,75.89999999999999
tribit flybuds 3,720,0.68,489.6
tribit flybuds 3,720,0.68,489.6
tribit flybuds 3,720,0.68,489.6
tribit bluetooth speaker,480,0.65,312.0
