suggestion,region,search_volume,cost_per_click
tribit earbuds,us,12100,0.63
tribit quietplus 72,us,12100,0.0
tribit quietplus 72,us,12100,0.0
tribit earbuds,us,12100,0.63
tribit earbuds,us,12100,0.63
tribit quietplus 72,us,12100,0.0
tribit quietplus 72,us,12100,0.0
tribit earbuds,us,12100,0.63
tribit earbuds,us,12100,0.63
tribit ear buds,us,12100,0.33
tribit quietplus 72,us,12100,0.0
tribit earbuds,us,12100,0.63
tribit xfree go,us,9900,0.3
tribit xfree go,us,9900,0.3
tribit xfree go,us,9900,0.3
tribit xfree go,us,9900,0.3
tribit xfree go,us,9900,0.3
tribit xfree go,us,9900,0.3
tribit headphones,us,8100,0.36
tribit headphones,us,8100,0.36
tribit headphones,us,8100,0.36
tribit headphones,us,8100,0.36
tribit headphones,us,8100,0.36
tribit headphones,us,8100,0.36
tribit stormbox blast,us,2900,1.04
tribit stormbox blast,us,2900,1.04
tribit stormbox blast,us,2900,1.04
tribit stormbox blast,us,2900,1.04
tribit stormbox blast,us,2900,1.04
tribit stormbox blast,us,2900,1.04
